,condition,sample_num,prot_hjs,total_hjs,prot_ratio,cutoff_condition,cutoff_percentile,cutoff_prot_avg_len_um
0,TJ_larRNAi_sema5cK175,01,1113,17821,0.06245440772122777,ck666,98,0.3041961666995944
1,TJ_larRNAi_sema5cK175,02,1188,17838,0.06659939455095863,ck666,98,0.3041961666995944
2,TJ_larRNAi_sema5cK175,03,1006,13720,0.07332361516034985,ck666,98,0.3041961666995944
3,TJ_larRNAi_sema5cK175,04,1411,7809,0.18068894864899476,ck666,98,0.3041961666995944
4,TJ_larRNAi_sema5cK175,05,1379,13419,0.10276473656755347,ck666,98,0.3041961666995944
5,TJ_larRNAi_sema5cK175,06,937,21155,0.04429212952020799,ck666,98,0.3041961666995944
6,ck666,01,385,8499,0.045299446993763974,ck666,98,0.3041961666995944
7,ck666,02,183,24101,0.007593045931704079,ck666,98,0.3041961666995944
8,ck666,03,140,11684,0.011982197877439232,ck666,98,0.3041961666995944
9,ck666,04,83,5597,0.014829372878327675,ck666,98,0.3041961666995944
10,ck666,05,332,8516,0.038985439173320806,ck666,98,0.3041961666995944
11,ck666,06,221,8799,0.02511649051028526,ck666,98,0.3041961666995944
12,fat2N1032,01,955,16588,0.05757173860622136,ck666,98,0.3041961666995944
13,fat2N1032,02,2328,16122,0.14439895794566432,ck666,98,0.3041961666995944
14,fat2N1032,03,1423,14057,0.10123070356406061,ck666,98,0.3041961666995944
15,fat2N1032,04,797,10874,0.0732940960088284,ck666,98,0.3041961666995944
16,fat2N1032,05,2217,19151,0.11576418985953736,ck666,98,0.3041961666995944
17,fat2N1032,06,1726,15095,0.1143424975157337,ck666,98,0.3041961666995944
18,fat2N1032,07,493,15797,0.03120845730201937,ck666,98,0.3041961666995944
19,fat2N1032,08,326,10707,0.030447370878864295,ck666,98,0.3041961666995944
20,fat2N1032,09,245,7697,0.031830583344160064,ck666,98,0.3041961666995944
21,fat2N1032,10,288,13811,0.020852943306060388,ck666,98,0.3041961666995944
22,fat2dICD,01,1387,13871,0.0999927907144402,ck666,98,0.3041961666995944
23,fat2dICD,02,1524,11842,0.12869447728424252,ck666,98,0.3041961666995944
24,fat2dICD,03,1388,12538,0.11070346147710959,ck666,98,0.3041961666995944
25,fat2dICD,04,1858,11869,0.15654225292779508,ck666,98,0.3041961666995944
26,fat2dICD,05,271,14402,0.018816830995695043,ck666,98,0.3041961666995944
27,lar132bola1,01,1294,11314,0.11437157503977373,ck666,98,0.3041961666995944
28,lar132bola1,02,2320,14299,0.1622491083292538,ck666,98,0.3041961666995944
29,lar132bola1,03,1710,13354,0.12805152014377716,ck666,98,0.3041961666995944
30,lar132bola1,04,1065,17359,0.061351460337577046,ck666,98,0.3041961666995944
31,lar132bola1,05,1473,21736,0.06776775855723224,ck666,98,0.3041961666995944
32,lar132bola1,06,2559,22442,0.11402727029676499,ck666,98,0.3041961666995944
33,sema5cK175,01,748,13777,0.05429338752994121,ck666,98,0.3041961666995944
34,sema5cK175,02,1619,17319,0.093481147872279,ck666,98,0.3041961666995944
35,sema5cK175,03,1608,20835,0.07717782577393809,ck666,98,0.3041961666995944
36,sema5cK175,04,964,17234,0.055935940582569336,ck666,98,0.3041961666995944
37,sema5cK175,05,2137,16245,0.13154816866728225,ck666,98,0.3041961666995944
38,sema5cK175,06,799,11716,0.06819733697507682,ck666,98,0.3041961666995944
39,sema5cK175,07,963,10375,0.09281927710843374,ck666,98,0.3041961666995944
40,sema5cK175,08,1460,16566,0.08813231920801642,ck666,98,0.3041961666995944
41,sema5cK175,09,1054,16335,0.0645240281603918,ck666,98,0.3041961666995944
42,w1118,01,948,10719,0.08844108592219424,ck666,98,0.3041961666995944
43,w1118,02,907,14646,0.06192817151440667,ck666,98,0.3041961666995944
44,w1118,03,1609,13522,0.1189912734802544,ck666,98,0.3041961666995944
45,w1118,04,1713,16787,0.10204324775123608,ck666,98,0.3041961666995944
46,w1118,05,1874,14738,0.12715429501967704,ck666,98,0.3041961666995944
47,w1118,06,1415,12316,0.11489119844105229,ck666,98,0.3041961666995944
48,w1118,07,1431,15219,0.09402720283855706,ck666,98,0.3041961666995944
