,hj_area_px2,tip_coords,base_coords,prot_len_px,prot_angle_rad,prot_angle_deg,edge_len_nonstrt_px,edge_len_strt_px,edge_angle_rad,edge_angle_deg,endpoint_1_coords,endpoint_2_coords,cell_s_lab,cell_r_lab,cell_r_area_px,cell_s_area_px,t_step,um_per_px,prot_len_um
0,84.0,"(259, 394)","(259, 396)",1.5555555555555556,3.141592653589793,180.0,56.995915013719824,56.73182528352142,1.959485827301131,112.27026792005532,"(227.5, 414.0)","(280.0, 392.5)",12.0,7.0,3873.0,3870.0,0,0.08846580217295011,0.1376134700468113
1,89.0,"(230, 349)","(231, 347)",1.9615795740921718,-0.4636476090008061,-26.56505117707799,56.36132571672397,56.47344508704954,1.2182431929847197,69.8001933785659,"(229.0, 345.0)","(282.0, 364.5)",13.0,7.0,3873.0,3793.0,0,0.08846580217295011,0.1735327105481378
2,16.0,"(278, 392)","(281, 391)",3.236473196698157,-1.2490457723982544,-71.56505117707799,11.006316276969649,11.40175425099138,2.4805494847391065,142.12501634890182,"(279.0, 393.0)","(286.0, 384.0)",23.0,7.0,3873.0,3089.0,0,0.08846580217295011,0.2863171975571546
3,20.0,"(282, 371)","(283, 370)",1.1481046225022713,-0.7853981633974483,-45.0,20.38326760004135,21.47673159491453,0.21109333322274654,12.094757077012101,"(281.0, 364.0)","(285.5, 385.0)",24.0,7.0,3873.0,7161.0,0,0.08846580217295011,0.10156799640813549
4,80.0,"(230, 286)","(232, 287)",1.976123668863976,-2.0344439357957027,-116.56505117707799,60.59870818102286,61.39421796879573,2.2697055902739702,130.04455105994776,"(230.0, 289.0)","(277.0, 249.5)",14.0,9.0,3463.0,3671.0,0,0.08846580217295011,0.17481936555900487
5,47.0,"(265, 228)","(266, 226)",1.9050863560201785,-0.4636476090008061,-26.56505117707799,31.292091042344083,32.42298567374695,1.273431181570973,72.96223220437436,"(242.0, 218.0)","(273.0, 227.5)",15.0,9.0,3463.0,3863.0,0,0.08846580217295011,0.16853499269406752
6,28.0,"(271, 229)","(273, 229)",1.5555555555555556,-1.5707963267948966,-90.0,23.548376726220035,23.345235059857504,0.17219081452293902,9.865806943084367,"(272.0, 227.0)","(276.0, 250.0)",20.0,9.0,3463.0,3452.0,0,0.08846580217295011,0.1376134700468113
7,127.0,"(267, 401)","(267, 395)",5.5006858710562305,0.0,0.0,56.995915013719824,56.73182528352142,1.959485827301131,112.27026792005532,"(227.5, 414.0)","(280.0, 392.5)",7.0,12.0,3870.0,3873.0,0,0.08846580217295011,0.48662258808440223
8,57.0,"(271, 470)","(273, 470)",1.5347661707689966,-1.5707963267948966,-90.0,43.41505966336799,43.660622991432454,2.6267078771855683,150.49927537650083,"(270.5, 473.0)","(292.0, 435.0)",22.0,12.0,3870.0,3144.0,0,0.08846580217295011,0.13577432044498622
9,62.0,"(290, 430)","(292, 430)",1.5555555555555556,-1.5707963267948966,-90.0,45.88219924665926,45.880278987817846,0.2872814533971342,16.460014812040036,"(279.0, 392.0)","(292.0, 436.0)",23.0,12.0,3870.0,3089.0,0,0.08846580217295011,0.1376134700468113
10,129.0,"(256, 355)","(254, 358)",3.2962890910678255,2.5535900500422257,146.30993247402023,56.36132571672397,56.47344508704954,1.2182431929847197,69.8001933785659,"(229.0, 345.0)","(282.0, 364.5)",7.0,13.0,3793.0,3873.0,0,0.08846580217295011,0.29160885863525976
11,90.0,"(243, 311)","(243, 308)",2.5185185185185177,0.0,0.0,65.98900786647178,67.04662556758542,1.6080924570145636,92.13691085375724,"(241.0, 309.0)","(308.0, 306.5)",14.0,13.0,3793.0,3671.0,0,0.08846580217295011,0.22280276102817057
12,82.0,"(284, 361)","(285, 363)",1.780861522988341,-2.677945044588987,-153.434948822922,55.576548026660014,55.31726674375732,2.432966381462123,139.39870535499554,"(281.0, 365.0)","(317.0, 323.0)",24.0,13.0,3793.0,7161.0,0,0.08846580217295011,0.1575453431901052
13,25.0,"(306, 308)","(308, 307)",2.1024542797883177,-1.1071487177940904,-63.43494882292201,20.03388713891634,20.591260281974,0.507098504392337,29.054604099077146,"(307.0, 306.0)","(317.0, 324.0)",32.0,13.0,3793.0,3825.0,0,0.08846580217295011,0.1859953043934256
14,126.0,"(277, 253)","(274, 252)",2.8557041561567122,1.2490457723982544,71.56505117707799,60.59870818102286,61.39421796879573,2.2697055902739702,130.04455105994776,"(230.0, 289.0)","(277.0, 249.5)",9.0,14.0,3671.0,3463.0,0,0.08846580217295011,0.25263215894303115
