,hj_area_px2,tip_coords,base_coords,prot_len_px,prot_angle_rad,prot_angle_deg,edge_len_nonstrt_px,edge_len_strt_px,edge_angle_rad,edge_angle_deg,endpoint_1_coords,endpoint_2_coords,cell_s_lab,cell_r_lab,cell_r_area_px,cell_s_area_px,t_step,um_per_px,prot_len_um
0,46.0,"(499, 340)","(497, 338)",2.4792385908269066,0.7853981633974483,45.0,33.51000114022169,33.61547262794322,2.1010120995715265,120.37912601136834,"(494.0, 342.0)","(523.0, 325.0)",12.0,3.0,2444.0,2713.0,0,0.08846579894765999,0.21932782271937298
1,70.0,"(518, 371)","(516, 373)",2.529416653080952,2.356194490192345,135.0,44.60156753689557,45.2133829745132,0.572666382705838,32.811366798068114,"(494.0, 341.0)","(518.5, 379.0)",15.0,3.0,2444.0,2569.0,0,0.08846579894765999,0.22376686508632251
2,31.0,"(513, 417)","(511, 415)",2.781320640844121,0.7853981633974483,45.0,23.129004166415818,23.323807579381203,2.1112158270654806,120.96375653207352,"(493.0, 425.0)","(513.0, 413.0)",17.0,7.0,1414.0,2233.0,0,0.08846579894765999,0.24605175262189283
3,47.0,"(506, 447)","(503, 447)",2.5185185185185177,1.5707963267948966,90.0,27.411061223032526,28.040149785619906,0.3838176232885688,21.991129917177126,"(493.0, 424.0)","(503.5, 450.0)",20.0,7.0,1414.0,2119.0,0,0.08846579894765999,0.22280275290521767
4,32.0,"(480, 286)","(480, 288)",1.5555555555555556,3.141592653589793,180.0,25.648061063760117,26.386549603917523,1.3994172004053889,80.1806993612421,"(478.0, 287.5)","(504.0, 292.0)",12.0,10.0,2069.0,2713.0,0,0.08846579894765999,0.13761346502969332
5,48.0,"(505, 241)","(503, 239)",2.47096410846701,0.7853981633974483,45.0,35.05742710560058,34.88552708502482,2.0472637462686034,117.29957221133282,"(476.0, 253.0)","(507.0, 237.0)",18.0,10.0,2069.0,2221.0,0,0.08846579894765999,0.21859581402652642
6,101.0,"(490, 267)","(479, 266)",10.930379919010566,1.4801364395941514,84.8055710922652,36.03051682962891,36.08670115153226,0.06933313368820858,3.972495940750659,"(476.5, 252.0)","(479.0, 288.0)",22.0,10.0,2069.0,2323.0,0,0.08846579894765999,0.9669647923367288
7,79.0,"(517, 324)","(517, 327)",2.5043674746399613,3.141592653589793,180.0,33.51000114022169,33.61547262794322,2.1010120995715265,120.37912601136834,"(494.0, 342.0)","(523.0, 325.0)",3.0,12.0,2713.0,2444.0,0,0.08846579894765999,0.2215508695025578
8,58.0,"(499, 294)","(499, 291)",2.5185185185185177,0.0,0.0,25.648061063760117,26.386549603917523,1.3994172004053889,80.1806993612421,"(478.0, 287.5)","(504.0, 292.0)",10.0,12.0,2713.0,2069.0,0,0.08846579894765999,0.22280275290521767
9,59.0,"(459, 332)","(458, 334)",1.9280178133871526,2.677945044588987,153.434948822922,39.55487877863641,41.0,1.3494818844471053,77.31961650818018,"(455.0, 332.5)","(495.0, 341.5)",15.0,12.0,2713.0,2569.0,0,0.08846579894765999,0.17056363624661489
10,34.0,"(457, 301)","(455, 300)",1.8013453978280367,1.1071487177940904,63.43494882292201,28.783661049590496,29.769951293208393,2.07952615111045,119.14807184571305,"(453.0, 301.5)","(479.0, 287.0)",22.0,12.0,2713.0,2323.0,0,0.08846579894765999,0.15935745979954768
11,149.0,"(466, 318)","(456, 320)",9.777168548425793,1.7681918866447774,101.30993247402021,32.844193847996685,32.0624390837628,0.06241880999595735,3.576334374997351,"(454.0, 301.0)","(456.0, 333.0)",28.0,12.0,2713.0,2231.0,0,0.08846579894765999,0.8649450270824209
12,60.0,"(463, 500)","(463, 503)",2.5185185185185177,3.141592653589793,180.0,39.41618557426114,40.152833025827704,1.4835186138454353,84.99935540244158,"(461.0, 502.5)","(501.0, 506.0)",16.0,13.0,2647.0,2846.0,0,0.08846579894765999,0.22280275290521767
13,51.0,"(488, 463)","(488, 461)",1.5555555555555556,0.0,0.0,40.69746484397492,41.0,1.5707963267948966,90.0,"(453.0, 461.0)","(494.0, 461.0)",20.0,13.0,2647.0,2119.0,0,0.08846579894765999,0.13761346502969332
14,44.0,"(462, 500)","(460, 501)",1.8597332861387115,2.0344439357957027,116.56505117707799,29.848159822825778,30.610455730027933,0.6696389456766376,38.36748538486154,"(443.0, 479.0)","(462.0, 503.0)",29.0,13.0,2647.0,2425.0,0,0.08846579894765999,0.16452279098781827
15,28.0,"(454, 463)","(452, 462)",1.976123668863976,1.1071487177940904,63.43494882292201,21.84099765430357,21.95449840010015,2.616796881939686,149.93141717813756,"(443.0, 480.0)","(454.0, 461.0)",33.0,13.0,2647.0,2352.0,0,0.08846579894765999,0.17481935918543273
16,53.0,"(487, 553)","(487, 551)",1.5555555555555556,0.0,0.0,49.95679796413164,50.039984012787215,1.6107750139181867,92.29061004263853,"(457.0, 552.0)","(507.0, 550.0)",16.0,14.0,2424.0,2846.0,0,0.08846579894765999,0.13761346502969332
17,31.0,"(465, 592)","(460, 595)",5.742570708523784,2.1112158270654806,120.96375653207352,13.732560691950873,14.603081866510234,0.6640461628266846,38.04704253182609,"(458.0, 593.5)","(467.0, 605.0)",23.0,14.0,2424.0,2218.0,0,0.08846579894765999,0.5080211057429865
18,176.0,"(479, 569)","(461, 572)",18.799392020311373,1.7359450042095235,99.46232220802563,43.9647301673842,42.01190307520001,0.023805026185069942,1.3639275316029187,"(458.0, 552.0)","(459.0, 594.0)",24.0,14.0,2424.0,2849.0,0,0.08846579894765999,1.6631032348071095
19,135.0,"(491, 350)","(497, 347)",6.4266090004665894,-1.1071487177940904,-63.43494882292201,44.60156753689557,45.2133829745132,0.572666382705838,32.811366798068114,"(494.0, 341.0)","(518.5, 379.0)",3.0,15.0,2569.0,2444.0,0,0.08846579894765999,0.5685350997504994
20,90.0,"(473, 340)","(473, 337)",2.518489610907234,0.0,0.0,39.55487877863641,41.0,1.3494818844471053,77.31961650818018,"(455.0, 332.5)","(495.0, 341.5)",12.0,15.0,2569.0,2713.0,0,0.08846579894765999,0.2228001955702898
21,70.0,"(483, 381)","(483, 384)",2.3834411331310665,3.141592653589793,180.0,47.737667466802506,47.95049530505394,1.371355780020662,78.57289840605488,"(461.0, 379.5)","(508.0, 389.0)",17.0,15.0,2569.0,2233.0,0,0.08846579894765999,0.21085302408715584
22,69.0,"(461, 370)","(458, 370)",2.4713382793139274,1.5707963267948966,90.0,43.00315639905689,42.5440947723653,0.5162306706117479,29.577838681261333,"(441.0, 343.0)","(462.0, 380.0)",27.0,15.0,2569.0,2679.0,0,0.08846579894765999,0.2186289153494419
23,25.0,"(446, 341)","(444, 340)",1.780861522988341,1.1071487177940904,63.43494882292201,19.11323586034264,19.525624189766635,2.2655346029916,129.8055710922652,"(441.0, 344.5)","(456.0, 332.0)",28.0,15.0,2569.0,2231.0,0,0.08846579894765999,0.15754533744631016
24,84.0,"(498, 509)","(498, 506)",2.5185185185185177,0.0,0.0,39.41618557426114,40.152833025827704,1.4835186138454353,84.99935540244158,"(461.0, 502.5)","(501.0, 506.0)",13.0,16.0,2846.0,2647.0,0,0.08846579894765999,0.22280275290521767
25,113.0,"(498, 549)","(498, 552)",2.5185185185185195,3.141592653589793,180.0,49.95679796413164,50.039984012787215,1.6107750139181867,92.29061004263853,"(457.0, 552.0)","(507.0, 550.0)",14.0,16.0,2846.0,2424.0,0,0.08846579894765999,0.22280275290521784
26,17.0,"(447, 545)","(446, 546)",1.4062669283003055,2.356194490192345,135.0,13.072359389877484,14.0089257261219,0.9629943306809362,55.175510843043206,"(446.0, 545.0)","(457.5, 553.0)",24.0,16.0,2846.0,2849.0,0,0.08846579894765999,0.12440652734575822
27,40.0,"(461, 506)","(459, 505)",1.780861522988341,1.1071487177940904,63.43494882292201,28.22564906473407,28.319604517012593,2.3062360944704023,132.13759477388825,"(441.0, 521.0)","(462.0, 502.0)",29.0,16.0,2846.0,2425.0,0,0.08846579894765999,0.15754533744631016
28,63.0,"(453, 541)","(446, 541)",6.500228623685416,1.5707963267948966,90.0,25.755495661920918,26.386549603917523,0.17137912638950764,9.819300638757898,"(441.5, 520.0)","(446.0, 546.0)",34.0,16.0,2846.0,2415.0,0,0.08846579894765999,0.5750479185367786
29,52.0,"(509, 413)","(510, 416)",2.9053005523556177,-2.819842099193151,-161.565051177078,23.129004166415818,23.323807579381203,2.1112158270654806,120.96375653207352,"(493.0, 425.0)","(513.0, 413.0)",7.0,17.0,2233.0,1414.0,0,0.08846579894765999,0.2570197345472176
30,118.0,"(501, 393)","(501, 387)",5.500685871056244,0.0,0.0,47.737667466802506,47.95049530505394,1.371355780020662,78.57289840605488,"(461.0, 379.5)","(508.0, 389.0)",15.0,17.0,2233.0,2569.0,0,0.08846579894765999,0.48662257034309564
31,57.0,"(463, 419)","(463, 421)",1.5555555555555556,3.141592653589793,180.0,41.79169931145108,43.41658669218482,1.4321565896607384,82.05652818940959,"(451.0, 418.5)","(494.0, 424.5)",20.0,17.0,2233.0,2119.0,0,0.08846579894765999,0.13761346502969332
32,27.0,"(461, 382)","(460, 381)",1.1936977089067367,0.7853981633974483,45.0,23.318276919252025,23.600847442411894,2.2058230621852104,126.3843518158359,"(443.0, 393.0)","(462.0, 379.0)",27.0,17.0,2233.0,2679.0,0,0.08846579894765999,0.10560142152042573
33,114.0,"(460, 396)","(448, 397)",11.65871927015382,1.6539375586833378,94.76364169072617,28.348567559349096,28.30635970943632,0.30499234681440474,17.47477425625567,"(443.5, 392.0)","(452.0, 419.0)",32.0,17.0,2233.0,2346.0,0,0.08846579894765999,1.0313979149406372
34,84.0,"(503, 235)","(505, 238)",3.339859602137131,-2.5535900500422257,-146.30993247402023,35.05742710560058,34.88552708502482,2.0472637462686034,117.29957221133282,"(476.0, 253.0)","(507.0, 237.0)",10.0,18.0,2221.0,2069.0,0,0.08846579894765999,0.2954633480760751
35,26.0,"(459, 247)","(459, 249)",1.5555555555555556,3.141592653589793,180.0,19.894594850818724,20.5,1.3494818844471053,77.31961650818018,"(457.0, 248.5)","(477.0, 253.0)",22.0,18.0,2221.0,2323.0,0,0.08846579894765999,0.13761346502969332
36,43.0,"(450, 215)","(447, 215)",2.404859329907493,1.5707963267948966,90.0,26.36594896141065,26.40075756488817,2.4905159321453136,142.6960517220166,"(443.0, 222.0)","(459.0, 201.0)",26.0,18.0,2221.0,2641.0,0,0.08846579894765999,0.2127478019770006
37,51.0,"(458, 242)","(455, 242)",2.49694393409674,1.5707963267948966,90.0,31.331838869806937,31.76476034853718,0.49180917598869855,28.178590109959174,"(443.0, 221.0)","(458.0, 249.0)",30.0,18.0,2221.0,2454.0,0,0.08846579894765999,0.22089414005738137
38,76.0,"(490, 428)","(494, 427)",3.7503665954093366,-1.3258176636680326,-75.96375653207353,27.411061223032526,28.040149785619906,0.3838176232885688,21.991129917177126,"(493.0, 424.0)","(503.5, 450.0)",7.0,20.0,2119.0,1414.0,0,0.08846579894765999,0.33177917720950245
39,91.0,"(470, 459)","(470, 462)",2.518518518518519,3.141592653589793,180.0,40.69746484397492,41.0,1.5707963267948966,90.0,"(453.0, 461.0)","(494.0, 461.0)",13.0,20.0,2119.0,2647.0,0,0.08846579894765999,0.2228027529052178
40,96.0,"(489, 426)","(490, 423)",2.779750449214305,-0.3217505543966422,-18.43494882292201,41.79169931145108,43.41658669218482,1.4321565896607384,82.05652818940959,"(451.0, 418.5)","(494.0, 424.5)",17.0,20.0,2119.0,2233.0,0,0.08846579894765999,0.24591284436486024
41,33.0,"(441, 436)","(439, 435)",1.9920814494618453,1.1071487177940904,63.43494882292201,24.049767180798554,23.600847442411894,2.5065659181994793,143.61564818416412,"(438.0, 437.0)","(452.0, 418.0)",32.0,20.0,2119.0,2346.0,0,0.08846579894765999,0.1762310769954547
42,41.0,"(441, 437)","(439, 438)",1.9603937739768702,2.0344439357957027,116.56505117707799,29.410099109598217,30.26962173533062,0.5375866466587464,30.80144597613683,"(438.0, 436.0)","(453.5, 462.0)",33.0,20.0,2119.0,2352.0,0,0.08846579894765999,0.1734278014668822
43,107.0,"(472, 275)","(478, 275)",5.500685871056244,-1.5707963267948966,-90.0,36.03051682962891,36.08670115153226,0.06933313368820858,3.972495940750659,"(476.5, 252.0)","(479.0, 288.0)",10.0,22.0,2323.0,2069.0,0,0.08846579894765999,0.48662257034309564
44,65.0,"(453, 299)","(455, 301)",2.552584108949365,-2.356194490192345,-135.0,28.783661049590496,29.769951293208393,2.07952615111045,119.14807184571305,"(453.0, 301.5)","(479.0, 287.0)",12.0,22.0,2323.0,2713.0,0,0.08846579894765999,0.22581639257930636
45,41.0,"(474, 255)","(473, 252)",2.8037130825946375,0.3217505543966422,18.43494882292201,19.894594850818724,20.5,1.3494818844471053,77.31961650818018,"(457.0, 248.5)","(477.0, 253.0)",18.0,22.0,2323.0,2221.0,0,0.08846579894765999,0.24803271787174122
46,62.0,"(438, 296)","(438, 299)",2.518518518370857,3.141592653589793,180.0,35.27723400811194,36.01735692690401,1.3325515686161515,76.34958086524301,"(419.0, 293.5)","(454.0, 302.0)",28.0,22.0,2323.0,2231.0,0,0.08846579894765999,0.2228027528921548
47,67.0,"(446, 260)","(444, 258)",2.4792385908269066,0.7853981633974483,45.0,46.35730857462594,46.76804464589043,2.07270276984689,118.75712089730241,"(417.0, 270.5)","(458.0, 248.0)",30.0,22.0,2323.0,2454.0,0,0.08846579894765999,0.21932782271937298
48,103.0,"(438, 281)","(419, 282)",18.687218560468025,1.6233793884058383,93.01278750418334,24.38569912405063,24.08318915758459,0.08314123188844123,4.763641690726178,"(418.0, 270.0)","(420.0, 294.0)",36.0,22.0,2323.0,2320.0,0,0.08846579894765999,1.6531797200613445
49,45.0,"(460, 603)","(464, 601)",4.188378551878061,-1.1071487177940904,-63.43494882292201,13.732560691950873,14.603081866510234,0.6640461628266846,38.04704253182609,"(458.0, 593.5)","(467.0, 605.0)",14.0,23.0,2218.0,2424.0,0,0.08846579894765999,0.3705282548871358
50,64.0,"(450, 600)","(450, 597)",2.5185185185185177,0.0,0.0,37.237600117299365,37.27264412407577,1.6918235466041016,96.93434890126956,"(422.0, 597.5)","(459.0, 593.0)",24.0,23.0,2218.0,2849.0,0,0.08846579894765999,0.22280275290521767
51,63.0,"(417, 623)","(415, 622)",1.7607163653920825,1.1071487177940904,63.43494882292201,45.203888353930054,45.069390943299865,2.8373841592505533,162.57013718233216,"(409.5, 640.0)","(423.0, 597.0)",35.0,23.0,2218.0,1697.0,0,0.08846579894765999,0.15576317998463063
52,77.0,"(452, 555)","(457, 555)",4.502057613168726,-1.5707963267948966,-90.0,43.9647301673842,42.01190307520001,0.023805026185069942,1.3639275316029187,"(458.0, 552.0)","(459.0, 594.0)",14.0,24.0,2849.0,2424.0,0,0.08846579894765999,0.39827812365736653
53,40.0,"(454, 554)","(454, 550)",3.4816590217908177,0.0,0.0,13.072359389877484,14.0089257261219,0.9629943306809362,55.175510843043206,"(446.0, 545.0)","(457.5, 553.0)",16.0,24.0,2849.0,2846.0,0,0.08846579894765999,0.30800774702605305
54,93.0,"(456, 592)","(457, 595)",2.9042117092879267,-2.819842099193151,-161.565051177078,37.237600117299365,37.27264412407577,1.6918235466041016,96.93434890126956,"(422.0, 597.5)","(459.0, 593.0)",23.0,24.0,2849.0,2218.0,0,0.08846579894765999,0.2569234091753057
55,109.0,"(390, 562)","(388, 556)",5.933539237780053,0.3217505543966422,18.43494882292201,63.643143839520576,62.882827544568954,1.7385593773381074,99.61211475436589,"(385.0, 556.0)","(447.0, 545.5)",34.0,24.0,2849.0,2415.0,0,0.08846579894765999,0.5249152892575019
56,59.0,"(393, 579)","(393, 582)",2.5185185185185177,3.141592653589793,180.0,38.47483850748648,38.01315561749642,1.1071487177940904,63.43494882292201,"(389.0, 581.0)","(423.0, 598.0)",35.0,24.0,2849.0,1697.0,0,0.08846579894765999,0.22280275290521767
57,88.0,"(395, 576)","(389, 579)",6.41609267181927,2.0344439357957027,116.56505117707799,26.454250438366802,26.23451924468981,0.13381097747459075,7.666804261814177,"(386.0, 556.0)","(389.5, 582.0)",1105.0,24.0,2849.0,1166.0,0,0.08846579894765999,0.5676047643347182
58,57.0,"(456, 201)","(457, 204)",2.6745007367025417,-2.819842099193151,-161.565051177078,26.36594896141065,26.40075756488817,2.4905159321453136,142.6960517220166,"(443.0, 222.0)","(459.0, 201.0)",18.0,26.0,2641.0,2221.0,0,0.08846579894765999,0.23660184445849558
59,58.0,"(416, 217)","(415, 219)",2.0010277088906756,2.677945044588987,153.434948822922,43.81605595067319,44.13898503590675,1.491418012235323,85.45195759087458,"(400.0, 218.0)","(444.0, 221.5)",30.0,26.0,2641.0,2454.0,0,0.08846579894765999,0.1770225149834192
