Interface,ctrl_ctrl 1,ctrl_ctrl 2,ctrl_ctrl 3,ctrl_ctrl 4,ctrl_ctrl 5,ctrl_ctrl 6,ctrl_ctrl 7,ctrl_ctrl 8,ctrl_ctrl 9,ctrl_ctrl 10,ctrl_ctrl 11,lar132_lar132 1,lar132_lar132 2,lar132_lar132 3,lar132_lar132 4,lar132_lar132 5,lar132_lar132 6,lar132_lar132 7,lar132_lar132 8,lar132_lar132 9,lar132_lar132 10,lar132_lar132 11,ctrl_ahead_lar132_behind 1,ctrl_ahead_lar132_behind 2,ctrl_ahead_lar132_behind 3,ctrl_ahead_lar132_behind 4,ctrl_ahead_lar132_behind 5,ctrl_ahead_lar132_behind 6,ctrl_ahead_lar132_behind 7,ctrl_ahead_lar132_behind 8,ctrl_ahead_lar132_behind 9,ctrl_ahead_lar132_behind 10,ctrl_ahead_lar132_behind 11,lar132_ahead_ctrl_behind 1,lar132_ahead_ctrl_behind 2,lar132_ahead_ctrl_behind 3,lar132_ahead_ctrl_behind 4,lar132_ahead_ctrl_behind 5,lar132_ahead_ctrl_behind 6,lar132_ahead_ctrl_behind 7,lar132_ahead_ctrl_behind 8,lar132_ahead_ctrl_behind 9,lar132_ahead_ctrl_behind 10,lar132_ahead_ctrl_behind 11
1,25.534,14.410,17.689,16.781,15.013,6.683,25.010,23.493,25.773,15.028,21.816,17.853,11.404,15.678,13.571,11.425,6.031,14.159,22.827,18.159,17.031,15.984,27.981,12.203,18.986,17.496,14.126,12.339,20.178,19.698,26.887,20.725,15.984,28.558,20.509,20.978,24.494,14.097,11.825,17.707,23.132,33.550,14.208,25.895
2,22.694,11.787,20.490,15.490,14.917,5.242,24.711,27.081,23.204,14.127,13.822,22.700,13.264,15.473,17.235,9.265,5.262,15.210,17.211,17.655,22.502,14.373,20.946,11.842,28.324,20.202,12.382,14.204,20.566,18.323,18.174,25.646,14.373,26.079,14.359,18.852,29.114,14.356,5.735,20.429,23.806,23.979,20.871,25.219
3,21.894,9.815,17.705,16.209,10.701,6.007,22.336,20.013,22.828,16.859,22.784,18.026,10.820,12.532,14.977,9.979,6.387,13.725,19.677,15.056,17.082,20.382,24.188,9.127,20.974,24.997,15.587,6.808,16.456,26.270,21.309,18.525,20.382,26.064,15.637,14.899,19.588,12.206,10.389,22.854,27.211,21.314,18.294,28.073
4,23.353,16.658,17.477,14.427,14.938,8.367,21.975,24.171,24.643,24.137,21.805,19.555,10.275,12.552,12.125,6.376,6.311,12.132,25.633,19.466,19.681,19.635,21.769,16.588,16.547,18.800,17.599,11.331,21.597,22.038,21.633,19.673,19.635,27.949,13.827,19.983,15.391,15.820,9.027,21.644,21.703,19.493,12.954,22.842
5,19.128,12.955,18.565,16.912,10.717,9.313,24.532,25.541,27.665,19.408,19.734,17.965,15.529,17.092,14.146,10.690,6.084,15.413,22.494,18.217,16.102,22.642,27.777,10.748,17.787,17.819,11.774,11.847,16.756,19.765,18.777,21.956,22.642,25.445,13.384,24.026,18.723,14.074,14.426,23.094,25.629,23.236,18.338,20.969
6,22.215,15.276,25.780,14.459,14.859,8.922,16.042,26.521,17.331,19.912,22.823,18.766,9.662,18.592,10.327,6.176,7.600,16.242,19.212,17.102,16.457,15.732,19.236,11.181,18.416,23.010,11.900,8.791,22.827,18.360,30.343,20.829,15.732,23.550,14.625,19.779,14.023,14.463,8.028,30.084,24.726,22.733,19.918,18.026
7,25.142,10.514,34.643,27.525,9.840,5.861,13.972,26.125,27.860,17.969,22.932,17.217,9.969,17.263,14.769,15.354,8.005,20.675,18.642,19.134,23.295,16.773,24.263,14.214,19.255,19.521,9.004,10.937,18.251,20.068,29.971,21.108,16.773,21.034,6.431,18.116,16.976,15.631,9.853,24.037,24.710,19.853,14.697,23.564
8,27.835,10.535,21.838,13.789,12.116,8.539,13.174,22.768,26.859,15.460,21.751,18.064,8.910,16.761,15.614,10.217,9.223,19.602,13.846,19.181,14.267,16.409,19.458,8.369,15.930,20.875,10.719,7.328,16.867,24.946,22.402,17.655,16.409,26.925,10.005,17.550,12.891,19.179,12.079,19.784,22.116,13.684,24.029,22.010
9,25.408,10.343,19.920,27.525,13.615,7.768,14.336,21.529,23.751,22.608,18.993,17.166,9.079,15.479,19.373,10.274,8.186,17.446,24.698,17.469,16.985,17.291,16.054,5.769,15.050,,10.445,,20.363,25.114,41.398,14.110,17.291,24.813,9.487,17.913,14.405,18.946,10.758,20.496,17.703,25.140,,20.479
10,24.050,10.809,18.747,16.308,13.871,9.152,19.748,22.350,22.920,16.903,20.411,14.444,10.150,13.297,16.194,10.684,7.017,21.015,21.637,20.239,15.253,15.445,19.036,10.352,,,11.301,,12.202,24.076,23.385,33.017,15.445,22.818,17.089,24.222,20.339,13.904,8.320,15.825,23.109,22.427,,19.100
11,29.309,13.466,16.568,26.948,12.472,11.503,20.636,24.068,18.700,20.660,17.546,16.748,8.971,13.818,12.689,11.791,4.836,17.013,18.938,16.541,16.304,17.512,19.560,8.156,,,11.242,,25.757,27.053,34.072,17.006,17.512,24.059,15.268,17.015,19.213,,9.121,17.278,21.548,24.321,,22.004
12,21.486,9.284,19.685,16.718,12.182,7.316,18.192,20.454,23.975,17.465,18.420,18.690,10.714,11.621,13.691,7.285,6.113,18.583,20.149,25.123,19.971,16.116,22.277,10.179,,,10.522,,17.869,19.574,20.345,22.109,16.116,18.957,8.734,26.205,16.963,,8.095,19.242,18.477,23.158,,27.966
13,23.687,14.772,21.079,24.055,15.811,7.337,18.763,21.956,34.018,17.707,18.327,16.670,10.251,7.070,22.858,8.405,7.019,18.092,20.000,21.531,18.282,21.534,21.097,11.590,,,12.812,,19.266,25.512,25.868,16.767,21.534,16.575,13.191,26.740,15.006,,9.781,19.715,22.579,23.055,,14.331
14,23.801,9.129,19.086,20.391,12.766,11.407,21.646,23.040,22.539,20.848,18.456,15.200,10.319,12.259,16.661,8.581,3.879,15.352,18.542,19.230,15.447,15.955,24.754,7.803,,,,,17.277,23.968,24.953,23.975,15.955,23.654,11.646,18.657,20.498,,11.678,16.389,19.334,23.657,,15.577
15,24.590,12.501,13.368,19.456,,12.261,22.906,22.991,28.084,14.607,23.551,19.519,13.659,13.278,13.985,11.281,9.396,17.600,15.578,16.614,16.927,17.678,25.003,10.541,,,,,16.444,28.560,29.862,17.272,17.678,29.952,12.061,17.003,19.824,,16.196,21.323,15.055,29.209,,19.390
16,20.635,13.177,15.315,21.442,,5.512,23.842,22.809,26.373,17.321,18.117,15.513,9.575,9.866,11.854,9.090,6.681,21.263,19.161,15.318,18.790,21.210,18.110,8.126,,,,,18.165,24.492,23.382,,21.210,20.811,14.920,11.866,17.867,,12.966,17.439,18.952,18.897,,26.136
17,31.069,9.514,11.957,19.642,,11.074,20.719,25.034,22.147,,21.428,14.046,6.564,12.650,13.327,7.960,5.903,18.949,22.308,19.547,15.576,,23.136,9.757,,,,,,27.790,21.583,,17.351,20.849,9.667,18.388,19.645,,,16.454,28.812,18.151,,21.261
18,27.235,10.962,12.625,18.456,,10.142,18.115,22.019,29.116,,21.123,20.973,10.771,14.007,16.797,,7.392,15.121,20.119,16.281,14.516,,27.636,6.286,,,,,,22.312,20.041,,18.848,21.210,12.668,15.634,19.050,,,19.671,23.740,32.594,,27.788
19,23.790,10.205,17.299,13.159,,7.184,17.638,18.377,28.335,,19.810,24.506,10.250,11.969,18.178,,6.599,16.934,20.555,13.863,19.517,,21.127,,,,,,,22.865,28.169,,19.014,32.880,12.599,11.451,18.909,,,26.634,25.677,20.339,,30.570
20,20.765,12.418,17.318,14.277,,5.525,16.878,25.272,21.388,,17.075,21.424,8.613,12.707,14.540,,,19.235,24.925,19.005,16.519,,20.179,,,,,,,31.578,22.332,,15.530,26.169,8.608,16.347,,,,23.079,21.976,18.586,,31.802
21,17.573,11.668,15.497,20.088,,7.197,14.125,20.111,22.118,,22.967,22.351,12.188,8.469,13.628,,,12.883,21.961,18.497,16.788,,17.541,,,,,,,22.925,20.801,,19.614,23.542,10.299,,,,,14.528,21.620,15.453,,17.712
22,22.807,13.097,19.455,14.345,,,19.318,19.768,24.442,,26.989,20.007,13.743,12.291,,,,,25.077,20.861,17.783,,17.105,,,,,,,28.141,23.028,,25.407,19.416,9.832,,,,,34.826,25.137,21.013,,21.344
23,20.480,12.157,17.740,22.670,,,19.989,21.570,18.536,,24.118,19.453,9.291,10.713,,,,,26.252,17.789,17.239,,21.002,,,,,,,18.964,25.446,,18.739,23.627,8.647,,,,,22.342,26.162,,,21.584
24,,11.948,19.504,,,,,18.925,17.215,,19.301,19.740,,17.861,,,,,19.512,23.886,,,19.428,,,,,,,19.409,21.984,,18.239,24.676,,,,,,18.496,27.870,,,
25,,16.633,,,,,,28.395,20.793,,,17.887,,18.777,,,,,18.197,21.704,,,16.518,,,,,,,19.902,15.523,,20.938,23.727,,,,,,23.473,25.591,,,
26,,15.092,,,,,,23.276,,,,,,20.790,,,,,,,,,16.556,,,,,,,30.272,14.282,,20.317,19.662,,,,,,18.415,24.561,,,
27,,,,,,,,22.448,,,,,,10.884,,,,,,,,,17.443,,,,,,,,24.235,,25.081,,,,,,,,25.628,,,
28,,,,,,,,,,,,,,,,,,,,,,,25.644,,,,,,,,,,,,,,,,,,19.763,,,
